Metric,Nepal score,Global percentile,N countries scoring lower,N total
Total Score,38.5,46.2,89,195
Policy Capacity,49.5,57.2,110,195
AI Infrastructure,38.05,38.5,74,195
Governance,57.24,54.4,105,195
Public Sector Adoption,32.88,36.9,71,195
Development & Diffusion,22.5,39.0,75,195
Resilience,48.94,66.2,128,195
Policy vision,30.0,42.8,71,195
Policy commitment,62.5,63.3,114,195
Compute capacity,6.9,60.3,116,195
Enabling technical infrastructure,52.24,32.3,62,195
Data quality,54.99,36.4,70,195
Governance principles,60.75,56.2,108,195
Regulatory compliance,53.72,50.3,97,195
Government digital policy,4.56,20.5,39,195
e-Government delivery,61.2,49.7,96,195
Human capital,38.55,56.9,110,195
AI sector maturity,0.68,1.8,2,195
AI technology diffusion,35.55,39.0,75,195
Societal transition,31.21,15.9,30,195
Safety and security,66.67,82.8,147,195
