Category,Indicator,Indicator Name,Nepal Score,Benchmark / Global Average,Assessment / Evidence
Leadership & Governance,1,Digital health prioritized at the national level through dedicated bodies / mechanisms for governance,2,4.0,Governance structure is formally constituted though not fully-functional or meeting regularly.
Leadership & Governance,2,Digital Health prioritized at the national level through planning,3,4.0,Digital health is included in national health or relevant national strategies and/or plans.
Leadership & Governance,2a,Health is prioritized in national digital transformation and data governance policies,1,,National digital transformation and data governance policies do not include potential benefits and risks on public health or individual health outcomes.
Leadership & Governance,3,Readiness for emerging technologies adoption and governance,2,2.0,"A plan was developed for at least one emerging technology (e.g., AI, Wearables, Blockchain, IoT) to support public health goals, but it is not being implemented."
Leadership & Governance,4,"Diversity, Equity, and human rights analysis, planning and monitoring included in national digital health strategies and plans",1,4.0,Digital health strategies and programs are developed and implemented without consideration of equity and human rights implications.
Leadership & Governance,4a,Gender considerations accounted for in digital health strategies and digital health governance,1,,"Digital health strategies and interventions are developed and implemented without consideration of gender norms, roles, and relations."
Strategy & Investment,5,National eHealth/ Digital Health Strategy or Framework,2,3.0,National digital health strategy or framework approved.
Strategy & Investment,5a,National digital strategy alignment with Universal Health Coverage (UHC) Core Components,2,,"Digital health strategy exists and is partly aligned to UHC, addressing only one core UHC component of coverage, access, uptake, quality, and equity."
Strategy & Investment,6,Public funding for digital health,2,3.0,Non-systematic budget allocated for digital health exists or are projects and/or system-based.
Strategy & Investment,6a,Private sector participation and investments in digital health,2,,The private sector participation and investment in the country's digital health activities and investment is ad-hoc and limited.
"Legislation, Policy, & Compliance",7,Legal Framework for Data Protection (Security/ Cybersecurity),2,4.0,There is a law on data security relevant to digital health that has been proposed and is under review.
"Legislation, Policy, & Compliance",8,"Laws or Regulations for privacy, consent, confidentiality and access to health information (Privacy)",2,4.0,"There is a law to protect individual privacy, governing ownership, consent, access and sharing of individually identifiable digital health data that has been proposed and is under review."
"Legislation, Policy, & Compliance",9,Protocol for regulating or certifying devices and/or health services- including provisions for AI and algorithms (at higher stages of maturity),1,3.0,"There are no protocols, policies, frameworks or accepted processes governing the clinical and patient care use of connected medical devices and health services, particularly in relation to safety, data integrity and quality of care."
"Legislation, Policy, & Compliance",9a,Protocol for regulating and certifying AI within health services,1,,"There are no protocols, policies, frameworks, or accepted processes governing AI use in health services."
"Legislation, Policy, & Compliance",10,Cross-border data security and sharing,1,3.0,"There are no protocols, policies, frameworks or accepted processes in place to support secure cross-border data exchange and storage while protecting individual privacy."
Workforce,11,Digital health integrated in health and related professional pre-service training (prior to deployment),2,2.0,Digital health curriculum proposed and under review as part of pre-service training requirements.
Workforce,12,Digital health integrated in health and related professional in-service training (after to deployment),2,2.0,Digital health curriculum proposed and under review as part of in-service (continuing education) training for health professionals in the workforce.
Workforce,13,Training of digital health workforce,3,3.0,"Professional training is available, but graduates are not yet deployed."
Workforce,14,Maturity of public sector digital health professional careers,2,2.0,A national needs assessment shows the number and types of skills needed to support digital health with an explicit focus on training cadres of female health workers.
Standards & Interoperability,15,National digital health architecture and/or health information exchange,1,3.0,There is no national digital health (eHealth) architectural framework and/or health information exchange (HIE) established.
Standards & Interoperability,16,Health information standards,2,3.0,"There are some digital health / health information standards for data exchange, transmission, messaging, security, privacy, and hardware that have been adopted and/or are used."
Infrastructure,17,Network readiness,3,4.0,26 - 50
Infrastructure,18,Planning and support for ongoing digital health infrastructure maintenance,3,4.0,"A plan for supporting digital health infrastructure provision and maintenance has been implemented partially, but not consistently, with an estimated 0-25% of necessary infrastructure in public healthcare available and in use."
Services & Applications,19,Nationally scaled digital health systems,3,3.0,Some national priority areas supported by scaled digital health systems (25-50% of priority areas).
Services & Applications,20,"Digital identity management of service providers, administrators, and facilities for digital health, including location data for GIS mapping",2,3.0,"Health system registries of uniquely identifiable providers, administrators, and public facilities (and private if applicable) are being developed but are not available for use."
Services & Applications,21,Digital identity management of individuals for health,2,3.0,"A secure registry exists, but is incomplete / partially available, used, and irregularly maintained."
Services & Applications,21a,Digital identity management of individuals for health — Master Patient Index,2,,"A master patient index exists, but is incomplete / partially available, used, and irregularly maintained."
Services & Applications,21b,Digital identity management of individuals for health — Birth Registry,3,,"A secure birth registry exists, is available and in active use and includes <25% of the relevant population."
Services & Applications,21c,Digital identity management of individuals for health — Death Registry,3,,"A secure death registry exists, is available and in active use and includes <25% of the relevant population."
Services & Applications,22,Secure Patient Feedback Systems,1,2.0,No secure patient feedback system exists.
Services & Applications,23,Population health management contribution of digital health,3,3.0,Digital systems are used at facility or community levels and contribute to the country's public health reporting and decision-making for population health management.
